Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,Accuracy,Centrality of genetics,Theme,Attitude
Film,Biobank,microbe,Yes,Academic,low,central,Adoption/NonBioParent,positive
TV Ep,BioWar/Terror,human,No,Private,mid,peripheral,Autonomy,negative
TV series,Chimera/TransGen,animal,Mixed,Government,high,,Bioethics,mixed
TV Movie,Cloning,plant,,Accident,,,Childhood,
,Conservation,,,Corporation,,,Disability,
,DataPrivacy,,,,,,Discrimination,
,DNAtoID,,,,,,Exploitation,
,Essentialism,,,,,,Forensics,
,Eugenics,,,,,,Galatea,
,Evolution,,,,,,SexGender,
,Forensics,,,,,,Genealogy,
,GeneDisease,,,,,,Individualism,
,GeneEngHu,,,,,,Interdependence,
,GeneScreen,,,,,,LGBTQIA,
,GeneTherapy,,,,,,Medicine (-),
,GMOs,,,,,,Medicine (+),
,Monoculture,,,,,,Monsters,
,Mutation,,,,,,Mortality,
,OrganHarvest,,,,,,NatureVNurture,
,Sex,,,,,,Posthumanism,
,WorldHunger,,,,,,Prometheus,
,,,,,,,Race,
,,,,,,,Religion,
,,,,,,,Sacrifice,
,,,,,,,SciCold,
,,,,,,,SciDedicated,
,,,,,,,SciMad,
,,,,,,,SciNazi,
,,,,,,,Vulnerability,
