Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
2067,2020,Film,"Conservation, DNAtoID, WorldHunger",NA,NA,Private,NA,low,peripheral,"Genealogy, Interdependence, Sacrifice",positive,"Mystery,Sci-Fi"
"100, The (Pilot)",2014,TV Ep,Mutation,animal,No,Accident,radiation,low,peripheral,Monsters,negative,"Drama,Mystery,Sci-Fi"
"100, The (The 48)",2014,TV Ep,"Evolution, Mutation",human,Mixed,Accident,radiation,low,peripheral,"Monsters, Vulnerability, Sacrifice, Posthumanism",mixed,"Drama,Mystery,Sci-Fi"
2019: After the Fall of New York,1983,Film,"Mutation, Conservation","human, animal",Yes,Accident,radiation,low,peripheral,"Monsters, Exploitation, SexGender",negative,"Action,Sci-Fi"
28 Weeks Later,2007,Film,GeneDisease,human,No,NA,NA,mid,peripheral,"Monsters, Vulnerability",positive,"Horror,Sci-Fi"
"6th Day, The",2000,Film,"Biobank, Cloning, DataPrivacy, DNAtoID, GeneDisease, GeneEngHu, OrganHarvest, GMOs","human, animal",Mixed,Corporation,NA,low,central,"Autonomy, Bioethics, Individualism, Mortality, Religion, Sacrifice, SciCold",mixed,"Action,Mystery,Sci-Fi"
7 Guardians of the Tomb,2017,Film,Mutation,animal,Yes,Government,NA,low,peripheral,"Medicine/neg, Monsters, Mortality, Prometheus",negative,"Action,Adventure,Horror"
A.I. Artificial Intelligence,2001,Film,Cloning,human,No,Academic,NA,low,peripheral,"Childhood, Individualism, Adoption/NonBioParent",positive,"Drama,Sci-Fi"
Acapulco H.E.A.T (Code Name: Perfect Specimen),1993,TV Ep,"GeneEngHu, BioWar/Terror",human,No,Private,NA,low,peripheral,"Posthumanism, Exploitation, Forensics",mixed,"Action,Adventure"
"Adam Project, The",2022,Film,DNAtoID,NA,NA,Private,NA,low,peripheral,"Childhood, NatureVNurture, Vulnerability",positive,"Action,Adventure,Comedy"
"Adventures of Jimmy Neutron, Boy Genius, The (Send in the Clones)",2004,TV Ep,"Cloning, Mutation",human,Mixed,Private,NA,low,peripheral,"Childhood, Individualism, SciMad",negative,"Action,Adventure,Animation"
"Adventures of Jimmy Neutron, Boy Genius, The (Substitute Creature)",2002,TV Ep,"Conservation, Cloning",plant,Yes,Private,ancient DNA,low,peripheral,"Monsters, SciMad",negative,"Action,Adventure,Animation"
"Adventures of Jimmy Neutron, Boy Genius, The (The N-Men)",2004,TV Ep,Mutation,human,Mixed,Accident,NA,low,peripheral,"Childhood, Monsters, Discrimination",negative,"Action,Adventure,Animation"
"Adventures of Jimmy Neutron, Boy Genius, The (The Trouble with Clones)",2006,TV Ep,Cloning,human,Yes,Private,NA,low,peripheral,"SciMad, Autonomy, Childhood",negative,"Action,Adventure,Animation"
"Adventures of Pluto Nash, The",2002,Film,Cloning,human,No,Private,genetic memory,low,peripheral,"Individualism, Autonomy, Prometheus",mixed,"Action,Comedy,Sci-Fi"
Aeon Flux,2005,Film,"Cloning, Sex, Biobank, DataPrivacy",human,No,Government,genetic memory,low,peripheral,"SexGender, Autonomy",negative,"Action,Adventure,Sci-Fi"
After Amy,2001,TV Movie,"Cloning, Eugenics, GeneScreen",human,No,Medical,"IVF, SCNT",high,central,"Bioethics, Autonomy, Individualism, Religion, SexGender",mixed,"Drama,Sci-Fi"
Alien 3,1992,Film,"Essentialism, Chimera/TransGen","human, animal",Mixed,Corporation,Jacobs syndrome,low,peripheral,"Bioethics, Exploitation, SexGender, Monsters, Religion, Sacrifice, SciCold",negative,"Action,Horror,Sci-Fi"
Alien vs. Predator,2004,Film,Chimera/TransGen,animal,Yes,Accident,NA,low,peripheral,"Sacrifice, Disability, Exploitation, Prometheus, Monsters, Religion",negative,"Action,Adventure,Horror"
Alien: Covenant,2017,Film,"Biobank, BioWar/Terror, Chimera/TransGen, GMOs",animal,Yes,Private,NA,low,peripheral,"Bioethics, Exploitation, SexGender, Monsters, Religion, Sacrifice, SciCold, Autonomy",negative,"Horror,Sci-Fi,Thriller"
Alien: Resurrection,1997,Film,"Cloning, Chimera/TransGen",human,Mixed,Government,genetic memory,low,peripheral,"Monsters, SexGender, Exploitation, SciCold, Posthumanism, Bioethics",negative,"Action,Horror,Sci-Fi"
Aliens vs Predator: Requiem,2007,Film,Chimera/TransGen,animal,Yes,Accident,NA,low,peripheral,"Childhood, Monsters, Sacrifice",negative,"Action,Horror,Sci-Fi"
All-Star Superman,2011,Film,"GeneEngHu, DNAtoID, GeneTherapy",human,Mixed,Private,NA,low,peripheral,"Monsters, Posthumanism, Sacrifice",mixed,"Animation,Action,Adventure"
Allegiant,2016,Film,"Eugenics, GeneEngHu",human,No,Government,NA,low,peripheral,"Discrimination, SciCold, Autonomy",negative,"Action,Adventure,Mystery"
"Alligator People, The",1959,Film,"GeneTherapy, Chimera/TransGen",human,Yes,Medical,NA,low,peripheral,"Posthumanism, Medicine/neg, Monsters",negative,"Horror,Mystery,Sci-Fi"
Almost Family (entire series),2019,TV series,"DNAtoID, DataPrivacy, Essentialism, Biobank, Sex",human,No,Medical,IVF,mid,central,"Adoption/NonBioParent, Medicine/neg, Bioethics, SexGender, NatureVNurture, Genealogy, SciCold",mixed,Drama
Almost Human (Beholder),2014,TV Ep,"GeneEngHu, Chimera/TransGen, Forensics, DNAtoID, DataPrivacy, Eugenics",human,Yes,Private,nanotechnology,low,central,"Medicine/neg, Disability",negative,"Action,Crime,Drama"
Almost Human (Blood Brothers),2013,TV Ep,"Forensics, Cloning, DNAtoID",human,Yes,Medical,stem cell cloning,low,peripheral,"Forensics, Vulnerability",negative,"Action,Crime,Drama"
Almost Human (Perception),2014,TV Ep,"DNAtoID, GeneEngHu, Biobank, DataPrivacy",human,No,Private,NA,mid,peripheral,"Forensics, Childhood",mixed,"Action,Crime,Drama"
Alraune,1952,Film,Eugenics,human,No,Academic,NA,low,central,"Prometheus, SexGender, SciMad",negative,"Horror,Sci-Fi"
Alraune,1928,Film,Eugenics,human,Yes,Academic,NA,low,central,"Galatea, SexGender, SciMad",negative,"Horror,Sci-Fi"
Alraune,1930,Film,Eugenics,human,Yes,Academic,NA,low,central,"Prometheus, SexGender, SciMad",negative,Sci-Fi
Altered States,1980,Film,Evolution,human,No,Academic,NA,low,central,"Vulnerability, SciMad, Prometheus",negative,"Horror,Sci-Fi,Thriller"
"Amazing Colossal Man, The",1957,Film,Mutation,human,Yes,Accident,radiation,low,peripheral,"Monsters, Prometheus, SciDedicated, Medicine/pos",negative,Sci-Fi
"Amazing Spider-Man 2: Rise of Electro, The",2014,Film,"GMOs, GeneTherapy, DataPrivacy, Mutation","animal, human",Yes,Corporation,NA,low,peripheral,"Medicine/neg, Monsters, SciNazi",negative,"Action,Adventure,Sci-Fi"
"Amazing Spider-Man, The",2012,Film,"GeneEngHu, GMOs, Chimera/TransGen","animal, human",Mixed,"Accident, Academic",NA,mid,central,"Monsters, SciMad, Bioethics",mixed,"Action,Adventure,Sci-Fi"
American Dad (Dancin' A-With My Cell),2021,TV Ep,"Essentialism, GeneEngHu, GeneTherapy, GMOs","human, plant",No,Private,"CRISPR, mosquito vector, SNP gene editing",mid,central,"Genealogy, NatureVNurture",positive,"Animation,Comedy"
American Dad (The Old Country),2020,TV Ep,"Biobank, Essentialism, OrganHarvest",human,NA,Corporation,direct to consumer testing,low,central,"Genealogy, Exploitation, Sacrifice",negative,"Animation,Comedy"
Anaconda 3: The Offspring,2008,TV Movie,"Chimera/TransGen, GMOs, ",animal,Yes,Corporation,transgenic research,low,peripheral,"Bioethics, Monsters, Prometheus",negative,"Action,Adventure,Horror"
Anacondas: Trail of Blood,2009,TV Movie,"Chimera/TransGen, GMOs","plant, animal",Mixed,Corporation,transgenic research,low,peripheral,"Monsters, Mortality, Bioethics, Prometheus, Medicine/pos, SciDedicated",mixed,"Action,Adventure,Horror"
Andover,2017,Film,"Cloning, Essentialism",human,No,Academic,NA,low,peripheral,"NatureVNurture, Galatea",positive,"Comedy,Drama,Romance"
"Andromeda (Day of Judgement, Day of Wrath)",2003,TV Ep,"Essentialism, GeneEngHu, GeneTherapy, GMOs",human,No,Private,NA,low,peripheral,"Adoption/NonBioParent, Galatea, Genealogy, Posthumanism, Sacrifice",positive,"Action,Adventure,Drama"
Andromeda (Double Helix),2000,TV Ep,"Eugenics, GeneScreen",human,NA,NA,NA,mid,central,"Posthumanism, SexGender, Race",positive,"Action,Adventure,Drama"
Andromeda (Forced Perspective),2001,TV Ep,"Cloning, OrganHarvest",human,No,Government,NA,low,peripheral,Mortality,negative,"Action,Adventure,Drama"
Andromeda (Home Fires),2001,TV Ep,"Cloning, Essentialism",human,No,NA,NA,low,peripheral,"Genealogy, Individualism",mixed,"Action,Adventure,Drama"
Andromeda (Immaculate Perception),2002,TV Ep,"Eugenics, GeneEngHu, Cloning",human,No,NA,NA,low,peripheral,"Posthumanism, Genealogy, Discrimination, Sacrifice, Race, Religion",mixed,"Action,Adventure,Drama"
Andromeda (Pride Before the Fall),2005,TV Ep,"DataPrivacy, Biobank, GeneEngHu",human,Mixed,NA,NA,low,central,"Posthumanism, Genealogy, Race",mixed,"Action,Adventure,Drama"
Andromeda (The Devil Takes the Hindmost),2001,TV Ep,Chimera/TransGen,human,No,Private,genetic memory,low,central,"Genealogy, SexGender, Monsters, Sacrifice, NatureVNurture",positive,"Action,Adventure,Drama"
"Andromeda Strain, The",1971,Film,Mutation,microbe,Yes,Accident,NA,mid,peripheral,"Disability, SciDedicated, Vulnerability",negative,"Mystery,Sci-Fi,Thriller"
"Animal Kingdom, The",2023,Film,Mutation,human,No,Accident,NA,low,peripheral,"Childhood, Disability, Discrimination, Monsters, Vulnerability",positive,"Adventure,Drama,Mystery"
Animaniacs (23 and WB),2021,TV Ep,"Essentialism, DNAtoID, DataPrivacy, GeneScreen",animal,No,Corporation,direct to consumer testing,mid,central,Genealogy,mixed,"Animation,Adventure"
Anna to the Infinite Power,1982,Film,"DataPrivacy, Essentialism, Cloning",human,No,Academic,SCNT,mid,central,"Adoption/NonBioParent, Childhood, Individualism, Medicine/neg, Mortality, NatureVNurture, SciCold, Galatea",negative,"Drama,Mystery,Sci-Fi"
Annihilation,2018,Film,"Cloning, Conservation, Mutation","human, animal, plant",Mixed,Academic,NA,low,peripheral,"Posthumanism, Sacrifice, SciDedicated, Vulnerability, Mortality, Monsters",negative,"Adventure,Drama,Horror"
Anya,2019,Film,"Conservation, DataPrivacy, Evolution, GeneEngHu, GeneScreen, Sex",human,No,Academic,ancient DNA,high,central,"Bioethics, Childhood, Medicine/pos, Race, SciDedicated, SexGender",positive,"Drama,Sci-Fi"
Atomised,2006,Film,"Cloning, GeneDisease",human,No,Academic,NA,mid,peripheral,"SexGender, SciDedicated, Vulnerability, Medicine/pos, Childhood, Interdependence",mixed,"Drama,Romance"
Attack of the Crab Monsters,1957,Film,"Mutation, Conservation",animal,Yes,Accident,radiation,low,peripheral,"Monsters, Sacrifice",negative,"Horror,Sci-Fi"
Austin Powers in Goldmember,2002,Film,Cloning,human,No,Private,NA,low,peripheral,"SciMad, Adoption/NonBioParent",negative,"Action,Adventure,Comedy"
